PPN	Signatur_PPN	Objekttitel	Reihentiteltitel	"Sprachen"	Objektbeschreibung	Umfang	Weitere Nummer (Typ Signatur)	Weitere Nummer (Signatur)	Weitere Nummer (Typ Verlagsnr.)	Weitere Nummer (Verlagsnr.)	Weitere Nummer (Typ UPC)	Weitere Nummer (UPC)	Weitere Nummer (Typ Matrix)	Weitere Nummer (Matrix)	Datum	"Ort"	Label	"Schlagwörter"	Teilsammlung (AMA)	Weitere Informationen	Merkmale	Interpret	Ereignis	"GND-URL"	"GND-Name"	"Rolle"	"Name"	"Bemerkung"	
350046638	R 1196 350046638	Tshibola / Orchestre Tshala Muana		"und"	Enth.: Tshibola. Bena moyo, Seli pere. Karibu yangu	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1196	Verlags-Bestellnummer	Espera 621					1985	"Bruxelles"	Espera ; Kinshasa : Eprodis	"Musik,Kongo,Populäre Musik"	59.158			Interpr.: Tshala Muana. Orch. Tshala Muana	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1022346229,http://d-nb.info/gnd/16121126-4"	"Muana, Tshala,Orchestre Tshala Muana"	"Interpretation (durch),Interpretation (durch)"	"Muana, Tshala,Orchestre Tshala Muana"	"1958-,"	
350047081	R 1197 350047081	Djessy - Dyna / Kanda Bongo Man		"und"	Enth.: Djessy. Tens. Dyna. Ida	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 1197	Verlags-Bestellnummer	AR 00981					1985	"Paris"	Afro-Rythmes	"Musik,Kongo,Populäre Musik"	56.409			Interpr.: Kanda Bongo Man	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/134783700"	"Kanda Bongo Man"	"Interpretation (durch)"	"Kanda Bongo Man"	"1955-"	
350078580	R 1202 350078580	6 Juin 1956 - 6 Juin 1980, 24 ans d'age / Tonton Franco et le T.P.O.K. Jazz		"und"	Enth.: Vol. 1: Propriétaire. Héritier. Ayant droit. Locataire. Vol. 2: Kufwa ntangu. Meka okangama. Likambo ya moto. Banza	2 Schallpl. in Doppelalbum ; 33 UpM, stereo ; 30 cm	Signatur	R 1202	Verlags-Bestellnummer	Fran 004 & Fran 005			Matrix-Nummer	Matrix-Nr.: FRAN.04.A;FRAN-04 B.1;FRAN.05.A. YD;FRAN.05-B	1980	"Bruxelles"	V.I.S.A. 1980	"Musik,Kongo,Populäre Musik"	1996/864	Matrix-Nr.: FRAN.04.A;FRAN-04 B.1;FRAN.05.A. YD;FRAN.05-B - Vol. 1 u. Vol. 2 in einem Album		Interpr.: Franco Makiadi. Le T.P.O.K. Jazz	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1034498649,http://d-nb.info/gnd/3015656-7"	"Franco, Musiker,Tout-Puissant OK Jazz"	"Interpretation (durch),Interpretation (durch)"	"Franco <Musiker>,Tout-Puissant OK Jazz"	"1938-1989,"	
350081867	R 1203 350081867	Inokeka - Nokeka / Tina Dakouri		"und"	Enth.: Inokeka - Nokeka. Agama. Gbeghi. Babou - Todou. Fè, fè, fè. Atou Blehi	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1203	Verlags-Bestellnummer	84001					1985	"Paris"	ESKA Prod./Eddy'son Cons. Mondial	"Musik,Kongo,Populäre Musik"	1996/852			Interpr.: Tina Dakouri	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1061113957"	"Dakouri, Tina"	"Interpretation (durch)"	"Dakouri, Tina"	""	
350644381	R 1204 350644381	Retour à l'envoyeur / Pierre Moutouari		"und"	Enth.: Télégramme. Bolingo e bima maseke. Ingoba. Retour à l'envoyeur	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1204	Verlags-Bestellnummer	PM 0101			Matrix-Nummer	Matrix-Nr.: PM 0101 A;PM 0101 B	1982	"Brazzaville"	Les Etablissements P.M. ; Paris : Distr. Kadance	"Musik,Kongo,Populäre Musik"	1996/825	Matrix-Nr.: PM 0101 A;PM 0101 B		Interpr.: Pierre Moutouari	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1053680392"	"Moutouari, Pierre"	"Interpretation (durch)"	"Moutouari, Pierre"	"1950-"	
350644888	R 1205 350644888	Danger j'arrive : talent-puissance-swing / Michel Moutouari		"und"	Enth.: Ndouta mon amour. Maman Edith. Libanga ya bondoki. Kalmani Farra	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 1205	Verlags-Bestellnummer	K 4237					1983	"Paris"	Kadance	"Musik,Kongo,Populäre Musik"	1996/821			Interpr.: Michel Moutouari	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1053744048"	"Moutouari, Michel"	"Interpretation (durch)"	"Moutouari, Michel"	""	
350646236	R 1206 350646236	Samedi super - Makosmurf / Jimmy et Frédo		"und"	Enth.: Samedi super. U nga sauté l'enfant. Le jour des résultats. Makosmurf. Jazz Mangabé. Sax'n sun	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1206	Verlags-Bestellnummer	EQ 3184			Matrix-Nummer	Matrixnummern: AM EQ 3184 A, AM EQ 3184 B	1985	"Vitry s. Seine"	SONOG Distr.	"Musik,Kongo,Populäre Musik"	1996/820	Matrixnummern: AM EQ 3184 A, AM EQ 3184 B		Interpr.: Jimmy Mvondo Mvélé. Frédo	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1062588347,http://d-nb.info/gnd/106258841X"	"Mvondo, Jimmy,Frédo, Musiker"	"Interpretation (durch),Beteiligte Person/Körperschaft"	"Mvondo, Jimmy,Frédo <Musiker>"	","	
350672636	R 1210 350672636	Sambela / Bopol Masiamina et Syran Mbenza		"und"	Enth.: Sambela. Africa diaspora. Marie Jeanne. Reviens Moussa. Mokili	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1210	Verlags-Bestellnummer	PG 87101					1987	"S.l."	The Best African Sound (Sonodisc)	"Musik,Kongo,Populäre Musik"	1996/846	Abweichende Titelreihenfolge auf Plattencover		Interpr.: Bopol Masiamina [=Bopol Mansiamina]. Syran Mbenza	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/135819202,http://d-nb.info/gnd/105216076X"	"Mansiamina, Bopol,Mbenza, Syran"	"Interpretation (durch),Beteiligte Person/Körperschaft"	"Mansiamina, Bopol,Mbenza, Syran"	"1949-,1950-"	
350673233	R 1211 350673233	Ena / Choc Stars		"und"	Enth.: Ena. Fathy. Nazeli Mathy. Miss Dunia	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1211	Verlags-Bestellnummer	AR 1001					1980	"S.l."	Afro-Rythmes	"Musik,Kongo,Populäre Musik"	1996/847			Interpr.: Les Choc Stars	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/3017839-3"	"Choc Stars (Musikgruppe)"	"Interpretation (durch)"	"Choc Stars"	""	
350685517	R 1213 350685517	Nangadef / Ray Lema		"und"	Enth.: Kamulang. Nangadef. H.A.L. 99. Pongi. Moni mambo. What we need. Boyete. Orchestra of the forest. Afcoeur	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 1213	Verlags-Bestellnummer	209 837, MLPS 1000					1989	"S.l."	Mango (Island Records)	"Musik,Kongo,Populäre Musik"	2014/-			Interpr.: Ray Lema	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/134442881"	"Lema, Ray"	"Interpretation (durch)"	"Lema, Ray"	"1946-"	
350688753	R 1214 350688753	La belle étoile / Empire Bakuba	Editions Veve International	"und"	Enth.: La belle étoile. Paralysé Bis. Nunu Trésor. Aziza	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1214	Verlags-Bestellnummer	REM 360					1985	"Paris,Kinshasa"	Rythmes et Musique, EVVI Zaire	"Musik,Kongo,Populäre Musik"	54.460			Interpr.: Empire Bakuba	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/138677433,http://d-nb.info/gnd/3029979-2"	"Pépé Kallé,Empire Bakuba"	"Komposition (von),Interpretation (durch)"	"Pépé Kallé,Empire Bakuba"	"1951-1998,"	
350689415	R 1215 350689415	Mbutamuntu / Choc Stars		"und"	Enth.: Mbutamuntu (Mbuta-Mutu). Fatou. Ise-Matumona (Ise-Matoumona). Mokili cloche	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1215	Verlags-Bestellnummer	CHOC 055					1985	"S.l."	Anitha-Ngapy Prod.	"Musik,Kongo,Populäre Musik"	55.437				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/3017839-3"	"Choc Stars (Musikgruppe)"	"Interpretation (durch)"	"Choc Stars"	""	
350701954	R 1216 350701954	Premier amour / Choc Stars		"und"	Enth.: Premier amour. Meditation. Celio. Na ndimi na niokuama	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 1216	Verlags-Bestellnummer	DO 889 L					1985	"S.l."	Anitha-Ngapy Prod.	"Musik,Kongo,Populäre Musik"	2014/-			Interpr.: Choc Stars	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/3017839-3"	"Choc Stars (Musikgruppe)"	"Interpretation (durch)"	"Choc Stars"	""	
350702659	R 1217 350702659	Mimi Ley / Tabu Ley et l'Orchestre Afrisa International		"und"	Enth.: Mimi Ley. Maria Chantal. Palmares. Sata. Makfe. Silikani. Gabba. Oya Sela. Omanga. Mundi	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 1217	Verlags-Bestellnummer	360.128 B					1964	"S.l."	African	"Musik,Kongo,Populäre Musik"	57.017			Interpr.: Tabu Ley. Orch. Afrisa International	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/134782542,http://d-nb.info/gnd/3028408-9"	"Ley, Tabu,Afrisa International Orchestra"	"Interpretation (durch),Interpretation (durch)"	"Ley, Tabu,Afrisa International Orchestra"	"1940-2013,"	
350705305	R 1219 350705305	Assez / Joe Poster et le Grand Zai͏̈ko		"und"	Enth.: Assez. Bilno Juré. Djakolombo. Zéké ya Pamba. Ya Guy ya Santa. De base na ngai͏̈. Biloko ya moto ko kabolate. Kéba ba ko kima	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1219	Verlags-Bestellnummer	ANC 11209					1985	"Pointe Noire"	Scorpion Prod./Clesh-Records	"Musik,Kongo,Populäre Musik"	2014/-			Interpr.: Joe Poster. Orch Grand Zai͏̈ko	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1062730526,http://d-nb.info/gnd/1034115146"	"Poster, Joe,Grand Zaiko Wawa (Musikgruppe)"	"Interpretation (durch),Interpretation (durch)"	"Poster, Joe,Grand Zaiko Wawa"	"19XX-2006,"	
350716277	R 1220 350716277	Muvaro / Orchestre Zai͏̈ko Langa-Langa		"und"	Enth.: Muvaro. Etape. Nadimite nakotikate. Spleen	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1220	Verlags-Bestellnummer	IAD/S 007					1983	"Brazzaville"	Industrie Africaine du Disque	"Musik,Kongo,Populäre Musik"	56.088			Interpr.: Orch. Zaiko Langa Langa	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/3059219-7"	"Zaïko Langa Langa (Musikgruppe)"	"Interpretation (durch)"	"Zaïko Langa Langa"	""	
350716935	R 1221 350716935	Vol. 1 / [div. Interpreten]	Les plus grands succès zairois	"und"	Enth.: Bandake mboka. Charlotte. Tima nayebi. Cisa. Aka osali. Muvasi ya mibali. Semek. Soy del Si Boney. Pauline ya pre pace. Namona makambo	1 Schallpl. ; 33 UpM, mono-stereo ; 30 cm	Signatur	R 1221	Verlags-Bestellnummer	SAF 50042					1977	"S.l."	Sonafric (Sonodisc)	"Musik,Kongo,Populäre Musik"	55.086			Interpr.: (diverse ungenannte Interpreten)	Veröffentlichung (musikalisches Werk)	""	""	""	""	""	
350828369	R 1222 350828369	Na loba loba pamba te / Franco et l'Orchestre T.P. O.K. Jazz		"und"	Enth.: Na loba loba pamba(pampa) te 1&2. Tolinganaki toboyanaki 1&2. Kamusengele 1&2. Monzo 1&2	1 Schallpl. ; 33 UpM, mono ; 30 cm	Signatur	R 1222	Verlags-Bestellnummer	360.104 B					1977	"S.l."	African (Sonodisc)	"Musik,Kongo,Populäre Musik"	56.585			Interpr.: Franco Makiadi. Orch. T.P.O.K. Jazz	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1034498649,http://d-nb.info/gnd/3015656-7"	"Franco, Musiker,Tout-Puissant OK Jazz"	"Interpretation (durch),Interpretation (durch)"	"Franco <Musiker>,Tout-Puissant OK Jazz"	"1938-1989,"	
350833877	R 1224 350833877	Nalingi yo mingi / Johny Bokelo. Orch. Conga		"und"	Enth.: Nalingi yo mingi. Ozokisi ngai motema. Motors ekoti poto. Obebisi ngai motema	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 1224	Verlags-Bestellnummer	AFMS 008					1981	"Paris"	Afric'Music	"Musik,Kongo,Populäre Musik"	54.666			Interpr.: Johny Bokelo. Orchestra Conga	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1062802179,http://d-nb.info/gnd/3072366-8"	"Bokelo, Johnny,Conga Succès (Musikgruppe)"	"Interpretation (durch),Interpretation (durch)"	"Bokelo, Johnny,Conga Succès"	"193X-1995,"	
350834490	R 1225 350834490	C'est (pas) trop tard / Zai͏̈re All Stars		"und"	Enth.: C'est (pas) trop tard. Africa liberté. Edino. Selidjana. Sans souvenir	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 1225	Verlags-Bestellnummer	KL 012					1985	"S.l."	Eds. Kaluila	"Musik,Kongo,Populäre Musik"	70.811	Songtitel auf Cover und Label abweichend: "C'est pas trop tard", bzw. "C'est trop tard"		Interpr.: Zaire All Stars	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1062803027"	"Zaïre All Stars"	"Interpretation (durch)"	"Zaïre All Stars"	""	
350837597	R 1226 350837597	Orchestres: Conga. Elegance-Jazz. Surprise Los Angel. Symby. Bella-Bella. International Afrisa. Mando Negro Kwala-Kwa. TP Zembe-Zembe. T.P.O.K. Jazz	L'Afrique danse	"und"	Enth.: Ngoya. Ngalula Marthe. Tata Nkento. Mibali ya simba. Nzambe mokonzi. Lisumu lisango. Aon-Aon. Massamba M.J. Kenge N° 3. Ou est le sérieux?	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 1226	Verlags-Bestellnummer	360.050 B					1971	"S.l."	African	"Musik,Kongo,Populäre Musik"	2014/-				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/3072366-8,http://d-nb.info/gnd/1062805895,http://d-nb.info/gnd/1062806034,http://d-nb.info/gnd/1062822722,http://d-nb.info/gnd/3060565-9,http://d-nb.info/gnd/3028408-9,http://d-nb.info/gnd/3060869-7,http://d-nb.info/gnd/106282282X,http://d-nb.info/gnd/3015656-7"	"Conga Succès (Musikgruppe),Orchestre Élégance-Jazz,Orchestre Los Angel,Orchestre Symba,Orchestre Bella-Bella (Musikgruppe),Afrisa International Orchestra,Orchestre Mando Negro Kwala Kwa (Musikgruppe),Orchestre T.P. Zémbe-Zémbe,Tout-Puissant OK Jazz"	"Interpretation (durch),Interpretation (durch),Interpretation (durch),Interpretation (durch),Interpretation (durch),Interpretation (durch),Interpretation (durch),Interpretation (durch),Interpretation (durch)"	"Conga Succès,Orchestre Élégance-Jazz,Orchestre Los Angel,Orchestre Symba,Orchestre Bella-Bella,Afrisa International Orchestra,Orchestre Mando Negro Kwala Kwa,Orchestre T.P. Zémbe-Zémbe,Tout-Puissant OK Jazz"	",,,,,,,,"	
350871779	R 1227 350871779	Ngai mwana / Orchestre Kouloukoko du Zai͏̈re. Paroles et musique par Gérard Akueson		"lin,fre"	Enth.: Ngai mwana. Sana Mama. Kumisa Nzambe (1&2). Yaka toyakana (1&2). Ema Ema (1&2)	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1227	Verlags-Bestellnummer	SAF 50068					1978	"S.l."	Sonafric (Sonodisc)	"Musik,Kongo,Lingala,Populäre Musik"	54.868			Interpr.: Orchestre Kouloukoko	Veröffentlichung (musikalisches Werk)	",http://d-nb.info/gnd/16120604-9"	",Orchestre Kouloukoko du Zaïre"	"Komposition (von),Interpretation (durch)"	"Akueson, Gérard,Orchestre Kouloukoko du Zaïre"	","	
350874727	R 1228 350874727	Tata na Chambue / Orchestre International Lipopo du Zaire		"und"	Enth.: Tata na Chambue. Mama alingi Masala. Omona wapi. Bitumba ezali natinate. Ba mpoko. Ya yo sepela	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1228	Verlags-Bestellnummer	2C 062-15.805					1976	"S.l."	Pathé Marconi (EMI)	"Musik,Kongo,Populäre Musik"	2014/-			Interpr.: Orch. International Lipopo du Zaire	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1062937457"	"Orchestre International Lipopo du Zaïre"	"Interpretation (durch)"	"Orchestre International Lipopo du Zaïre"	""	
350874956	R 1229 350874956	Kidiba / Orchestre Lomeka		"und"	Enth.: Kidiba (1&2). Godet (1&2). Nki kwe di. Emi	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1229	Verlags-Bestellnummer	2C 064-15.966					1977	"S.l."	Pathé Marconi (EMI)	"Musik,Kongo,Populäre Musik"	55.061			Interpr.: Orchestre Lomeka	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/3073636-5"	"Orchestre Lomeka (Musikgruppe)"	"Interpretation (durch)"	"Orchestre Lomeka"	""	
350948585	R 1231 350948585	Gina 85 / Manuaku Waku & Grand Zai͏̈ko Wawa		"und"	Enth.: Gina 85. De base na ngai	1 Schallpl. ; 45 UpM, stereo ; 30 cm	Signatur	R 1231	Verlags-Bestellnummer	BL011					1985	"Paris"	Black Music	"Musik,Kongo,Populäre Musik"	55.372			Interpr.: Grand Zaiko Wawa. Manuaku Waku. Joe Poster Mumbata	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1034115510,http://d-nb.info/gnd/1062730526,http://d-nb.info/gnd/1034115146"	"Waku, Manuaku,Poster, Joe,Grand Zaiko Wawa (Musikgruppe)"	"Interpretation (durch),Beteiligte Person/Körperschaft,Interpretation (durch)"	"Waku, Manuaku,Poster, Joe,Grand Zaiko Wawa"	",19XX-2006,"	
350955816	R 1232 350955816	Baluti / Orchestre Vévé		"und"	Enth.: Baluti 1&2. Muana mburu 1&2. Nakoma juste 1&2. Mikolo mileki mingi 1&2. Bilobela 1&2. Fifi	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 1232	Verlags-Bestellnummer	360.106 B					1973	"S.l."	African	"Musik,Kongo,Populäre Musik"	57.119			Interpr.: Orchestre Vévé	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/10191155-5"	"Orchestre Veve"	"Interpretation (durch)"	"Orchestre Veve"	""	
350957169	R 1233 350957169	Bon Samaritain / Nedule Papa Noe͏̈l		"und"	Enth.: Bon Samaritain. Madiabuana. Bel ami. Kizungu-Zungu. Selia-Zozo. Sisi.	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1233							1985	"Brazzaville"	Industrie Africaine du Disque	"Musik,Kongo,Populäre Musik"	55.465			Interpr.: Papa Noel	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/137875509"	"Papa Noël"	"Interpretation (durch)"	"Papa Noël"	"1940-"	
350958149	R 1234 350958149	Elle et moi / Koffi Olomidé		"und"	Enth.: Tcha-Tcho du sorcier. Coucou. Roseau. Mennéquin. Elle et moi. V.I.P.	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1234	Verlags-Bestellnummer	KL 031					1989	"S.l."	Eds. Kaluila	"Musik,Kongo,Populäre Musik"	2014/-			Interpr.: Koffi Olomidé	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1023168456"	"Olomidé, Koffi"	"Interpretation (durch)"	"Olomidé, Koffi"	"1956-"	
35095870X	R 1235 35095870X	Vebaka serment / Verckys et l'Orchestre Veve		"und"	Enth.: Vebaka serment. Reste avec moi. Marceline. Vincent. Mobutu dix ans. Mauro Sumbu. Marcello tozongana. Vicky. Afrique aux Africains. Mabuse	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 1235	Verlags-Bestellnummer	SAF 50009			Matrix-Nummer	Matrix-Nr.: J 50009 A GP;J 50009 B	1975	"S.l."	Sonafric (Sonodisc)	"Musik,Kongo,Populäre Musik"	57.089	Matrix-Nr.: J 50009 A GP;J 50009 B		Interpr.: Verckys. Orch. Vévé	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1034061682,http://d-nb.info/gnd/10191155-5"	"Verckys,Orchestre Veve"	"Interpretation (durch),Interpretation (durch)"	"Verckys,Orchestre Veve"	"1944-,"	
350959722	R 1236 350959722	Rencontre : deux styles, une musique / Pablo de Zaiko ; Bozi de Langa Langa star		"und"	Enth.: Kombé. Luzitu. Chérie - Kela. Azo de l'amour	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1236	Verlags-Bestellnummer	J.P.M. 30384					1985	"S.l."	Musicanova	"Musik,Kongo,Populäre Musik"	55.423			Interpr.: Pablo Lubadiaka. Bozi Boziana	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1053482531,http://d-nb.info/gnd/1034343947"	"Pablo, Musiker,Boziana, Bozi"	"Interpretation (durch),Beteiligte Person/Körperschaft"	"Pablo <Musiker>,Boziana, Bozi"	"1952-,1952-"	
35119567X	R 1237 35119567X	Musique Tshokwe - Zai͏̈re / éd. par l'Institut des Musées Nationaux du Zaire avec le Musée Royal de l'Afrique Centrale. Barbara Schmidt-Wrenger		"und"	Enth.: Tshiyanda, dance. Tshisela, dance from the mukanda-circumcision. Mayenge, dance. Kalukuta, dance accompanied by the kwita friction drum - Kulenge sa mwata, songs of praise in honor of the Mwatshisenge. Miaso ya jita, war songs. Misao ya ulò, wedding songs - Miaso ya tshisaji, lamellophone. Miaso ya ndjimba, xylophone. Miaso ya ndjimba, xylophone. Ndeji, lullaby. Musheta, lamentation for the dead - Mahamba, soothsaying ceremony. Mungonge, song from the secret mungonge rites. Uyanga, dance-song of the hunters. Wali, initiation song of the girls	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1237	Verlags-Bestellnummer	6803 074					1985	"Kinshasa,Tervuren"	Institut des Musées Nationaux du Zaire, Musée Royal de l'Afrique Centrale	"Musik,Kongo,Tschokwe,Traditionelle Musik"	2014/-			Interpr.: [div. unbekannte Interpreten]	Veröffentlichung (musikalisches Werk)	",http://d-nb.info/gnd/5201866-0,http://d-nb.info/gnd/1006819-3"	",Institut des musées nationaux du Zaïre,Musée Royal de l'Afrique Centrale"	"Beteiligte Person/Körperschaft,Beteiligte Person/Körperschaft,Beteiligte Person/Körperschaft"	"Schmidt-Wrenger, Barbara,Institut des musées nationaux du Zaïre,Musée Royal de l'Afrique Centrale"	",,"	
351199853	R 1239 351199853	Lolombo / Sax Matalanza		"und"	Enth.: Lolombo. Generose. Chérie Adelu. Jalousie Balekos	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1239	Verlags-Bestellnummer	001					1986	"S.l."	Eds. Matalanza	"Musik,Kongo,Populäre Musik"	55.360			Interpr.: Matalanza et son ensemble	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1063317126"	"Matalanza, Sax"	"Interpretation (durch)"	"Matalanza, Sax"	""	
351230025	R 1241 351230025	Jalousie / Abeti accomp. par son orchestre Les Redoutables		"und"	Enth.: Jalousie. Na pesi yo mbote. Mwasi ya bolingo I love you. Boyokani	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1241	Verlags-Bestellnummer	IRS 001					1985	"Libreville"	Iris Prod.	"Musik,Kongo,Populäre Musik"	57.801			Interpr.: Abeti Masikini. Orch. Les Redoutables	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1012128296,http://d-nb.info/gnd/3058937-X"	"Abeti,Redoutables (Musikgruppe)"	"Interpretation (durch),Interpretation (durch)"	"Abeti,Redoutables"	"1951-1994,"	
351231188	R 1242 351231188	Moi chercher encore / Mhanu "M.K.R."		"und"	Enth.: Moi chercher encore. Mokolo ya marriage. Meditation. Y love you bolingo	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 1242	Verlags-Bestellnummer	SA 300076 / IG 150					1985	"S.l.,Bagnolet"	D.L.M., Iguane	"Musik,Kongo,Populäre Musik"	2014/-				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1063391040"	"Mhanu"	"Interpretation (durch)"	"Mhanu"	""	
351232044	R 1243 351232044	Mariage forcé / Bopol Mansiamina		"und"	Enth.: Mariage forcé. Yenga yenga. Kala ye ngangu. Ye ... à bouger	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 1243	Verlags-Bestellnummer	LSD 21/001, LDS 21/001					1985	"S.l.,Abidjan"	Shakara Music, Sacodisc Internat.	"Musik,Kongo,Populäre Musik"	55.484			Interpr.: Bopol Mansiamina	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/135819202"	"Mansiamina, Bopol"	"Interpretation (durch)"	"Mansiamina, Bopol"	"1949-"	
351233628	R 1244 351233628	Décèption motema / Bopol Mansiamina		"und"	Enth.: Décèption motema. Cardiaque ya l'amour. Issa Touré. Papy Ozonga	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 1244	Verlags-Bestellnummer	SMP 6011					1985	"New York"	Star Musique/Makossa Internat. Records	"Musik,Kongo,Populäre Musik"	56.109			Interpr.: Bopol Mansiamina	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/135819202"	"Mansiamina, Bopol"	"Interpretation (durch)"	"Mansiamina, Bopol"	"1949-"	
351234853	R 1245 351234853	Dada Micha / Bopol		"und"	Enth.: Dada Micha. Yo Murakame. Yo Murakame (remix). Ce Le. Samala. Cheri Coco (A.B.C.)	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1245	Verlags-Bestellnummer	82426-1					1988	"Paris"	Bleu Carai͏̈bes/B.M. Prod.	"Musik,Kongo,Populäre Musik"	71.025			Interpr.: Bopol Mansiamina	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/135819202"	"Mansiamina, Bopol"	"Interpretation (durch)"	"Mansiamina, Bopol"	"1949-"	
351236074	R 1246 351236074	Belinda / Bopol Mansiamina		"und"	Enth.: Belinda. M.F.A. Nzungu yakala (instrumental). Fausta mare. Afrinight. Nzungu yakala	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 1246	Verlags-Bestellnummer	38776-1					1985	"S.l."	Syllart Records (Mélodie Distr.)	"Musik,Kongo,Populäre Musik"	2014/-				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/135819202"	"Mansiamina, Bopol"	"Interpretation (durch)"	"Mansiamina, Bopol"	"1949-"	
351237860	R 1247 351237860	Jolie poupée / Kintaki		"und"	Enth.: Jolie poupée. Nella-Sanda	1 Schallpl. ; 45 UpM, stereo ; 30 cm	Signatur	R 1247	Verlags-Bestellnummer	KB 3254			Matrix-Nummer	Matrix-Nr.: 3254 A Y.D.;3254 B Y.D.	1985	"Paris"	Kintaki B. & Co. (Studio Caroline)	"Musik,Kongo,Populäre Musik"	54.905	Matrix-Nr.: 3254 A Y.D.;3254 B Y.D.		Interpr.: Blaise Kintaki	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1063393892"	"Kintaki, Blaise"	"Interpretation (durch)"	"Kintaki, Blaise"	""	
